category	source_line	source_function	code
package	43	TOPLEVEL	_APT_UPDATED=0  # флаг: 1 = apt-get update уже выполнен в этом сеансе
pam	73	TOPLEVEL	"PAM_SU_FILE=""/etc/pam.d/su"""
pam	77	TOPLEVEL	"PAM_COMMON_AUTH_FILE=""/etc/pam.d/common-auth"""
pam	78	TOPLEVEL	"PAM_COMMON_ACCOUNT_FILE=""/etc/pam.d/common-account"""
pam	80	TOPLEVEL	"FAILLOCK_CONF=""/etc/security/faillock.conf"""
pam	83	TOPLEVEL	FAILLOCK_CONF_STRICT=$'# Managed by SecureLinux-NG — pam_faillock strict+ (корпоративный стандарт 4.4)\naudit\nsilent\ndeny = 5\nunlock_time = 900\nfail_interval = 900\n'
ufw	103	TOPLEVEL	"UFW_EXTRA_RULES=""""  # дополнительные правила ufw, формат: ""15000/udp:Kaspersky 8080/tcp:Proxy"""
grub	147	TOPLEVEL	GRUB_KERNEL_REQUIRED_PARAMS=(
mount	1933	restore_fstab_module_if_required	"restore_manifest_has_backup_for ""/etc/fstab"""
mount	1940	restore_fstab_module_if_required	"""restore $label: legacy manifest без module_state; используется backup /etc/fstab"""
mount	1943	restore_fstab_module_if_required	"log ""[i]     restore $label: legacy manifest без backup /etc/fstab — пропуск"""
mount	1948	restore_fstab_module_if_required	"""restore $label: не удалось проверить legacy backup /etc/fstab"""
mount	1961	restore_fstab_module_if_required	"log ""[i]     restore $label: /etc/fstab уже восстановлен"""
mount	1965	restore_fstab_module_if_required	"if ! restore_file_from_manifest ""/etc/fstab""; then"
package	1978	snapshot_installed_packages	if ! dpkg-query -W \
chmod_chown	1988	snapshot_installed_packages	"if ! chmod 600 ""$snapshot""; then"
package	2021	record_newly_installed_packages	if ! dpkg-query -W \
chmod_chown	2031	record_newly_installed_packages	"if ! chmod 600 ""$current""; then"
package	2060	install_packages_transactionally	install_packages_transactionally() {
package	2071	install_packages_transactionally	"pkg_installed ""$package"" || \"
package	2085	install_packages_transactionally	apt-get install -y -q \
package	2211	collect_manifest_package_candidates	if ! dpkg-query -W \
package	2266	restore_installed_packages	"if pkg_installed ""$package""; then"
package	2278	restore_installed_packages	apt-get purge -y -q \
package	2316	report_installed_packages_for_manual_restore	"if pkg_installed ""$package""; then"
chmod_chown	2603	apply_runtime_paths_module	"if chmod go-w ""$item""; then"
chmod_chown	2605	apply_runtime_paths_module	"record_manifest_apply_report                 ""2.3.2 chmod go-w: $item"""
chmod_chown	2607	apply_runtime_paths_module	"add_warning                 ""2.3.2 chmod go-w failed: $item"""
chmod_chown	3174	apply_cron_command_paths_module	"if chmod go-w ""$item""; then"
chmod_chown	3176	apply_cron_command_paths_module	"record_manifest_apply_report                 ""2.3.3 chmod go-w: $item"""
chmod_chown	3178	apply_cron_command_paths_module	"add_warning                 ""2.3.3 chmod go-w failed: $item"""
chmod_chown	3342	apply_standard_system_paths_module	"if chmod go-w ""$item""; then"
chmod_chown	3344	apply_standard_system_paths_module	"record_manifest_apply_report                 ""2.3.8 chmod go-w: $item"""
chmod_chown	3346	apply_standard_system_paths_module	"add_warning                 ""2.3.8 chmod go-w failed: $item"""
chmod_chown	3488	apply_suid_sgid_module	"if chown root ""$item""; then"
chmod_chown	3489	apply_suid_sgid_module	"record_manifest_apply_report ""2.3.9 chown root: $item"""
chmod_chown	3492	apply_suid_sgid_module	"add_warning ""2.3.9 chown root failed: $item"""
chmod_chown	3496	apply_suid_sgid_module	"if chmod go-w ""$item""; then"
chmod_chown	3497	apply_suid_sgid_module	"record_manifest_apply_report ""2.3.9 chmod go-w: $item"""
chmod_chown	3500	apply_suid_sgid_module	"add_warning ""2.3.9 chmod go-w failed: $item"""
chmod_chown	3597	apply_user_cron_permissions_module	"if chmod go-w ""$file""; then"
chmod_chown	3601	apply_user_cron_permissions_module	"add_warning                 ""2.3.7 chmod go-w failed: $file"""
chmod_chown	3667	apply_home_permissions_module	"elif chmod 700 ""$home_dir""; then"
chmod_chown	3671	apply_home_permissions_module	"add_warning ""2.3.11 chmod 700 failed: $home_dir"""
chmod_chown	3703	apply_home_permissions_module	"if chmod go-rwx ""$file""; then"
chmod_chown	3707	apply_home_permissions_module	"add_warning ""2.3.10 chmod go-rwx failed: $file"""
systemctl	4349	check_sysctl_userspace_apport_dropin	if ! systemctl cat apport.service \
systemctl	4391	apply_sysctl_userspace_apport_dropin	if ! systemctl cat apport.service \
systemctl	4408	apply_sysctl_userspace_apport_dropin	"log ""[DRY-RUN] systemctl daemon-reload"""
systemctl	4495	apply_sysctl_userspace_apport_dropin	if ! systemctl daemon-reload \
systemctl	4499	apply_sysctl_userspace_apport_dropin	"""2.6 Apport drop-in: systemctl daemon-reload завершился с ошибкой"""
systemctl	4547	restore_sysctl_userspace_apport_dropin	elif ! systemctl daemon-reload \
systemctl	4551	restore_sysctl_userspace_apport_dropin	"""restore 2.6 Apport drop-in: systemctl daemon-reload завершился с ошибкой"""
grub	5033	apply_grub_kernel_params_module	"local grub_params=(""${GRUB_KERNEL_REQUIRED_PARAMS[@]}"")"
grub	5057	apply_grub_kernel_params_module	"log ""[DRY-RUN] 2.4 would add missing params to GRUB_CMDLINE_LINUX_DEFAULT"""
grub	5058	apply_grub_kernel_params_module	"log ""[DRY-RUN] 2.4 would run update-grub / grub2-mkconfig"""
grub	5115	apply_grub_kernel_params_module	"r""(?m)^(GRUB_CMDLINE_LINUX_DEFAULT=)([\""'])(.*?)([\""'])"""
grub	5122	apply_grub_kernel_params_module	"""SKIP: GRUB_CMDLINE_LINUX_DEFAULT not found"","
grub	5193	apply_grub_kernel_params_module	"if command -v update-grub >>""${DEBUG_LOG_FILE:-/dev/null}"" 2>&1; then"
grub	5194	apply_grub_kernel_params_module	"update-grub >>""${DEBUG_LOG_FILE:-/dev/null}"" 2>&1 \"
grub	5195	apply_grub_kernel_params_module	"&& add_safe ""2.4 GRUB kernel params applied, update-grub выполнен"" \"
grub	5196	apply_grub_kernel_params_module	"|| { add_warning ""2.4 update-grub завершился с ошибкой""; record_manifest_warning ""2.4 update-grub failed""; }"
grub	5197	apply_grub_kernel_params_module	elif command -v grub2-mkconfig >/dev/null 2>&1; then
grub	5198	apply_grub_kernel_params_module	grub2-mkconfig -o /boot/grub2/grub.cfg >/dev/null 2>&1 \
grub	5199	apply_grub_kernel_params_module	"&& add_safe ""2.4 GRUB kernel params applied, grub2-mkconfig выполнен"" \"
grub	5200	apply_grub_kernel_params_module	"|| { add_warning ""2.4 grub2-mkconfig завершился с ошибкой""; record_manifest_warning ""2.4 grub2-mkconfig failed""; }"
grub	5202	apply_grub_kernel_params_module	"add_warning ""2.4 update-grub / grub2-mkconfig не найден — ${grub_file} обновлён, загрузчик требует ручного обновления"""
grub	5203	apply_grub_kernel_params_module	"record_manifest_warning ""2.4 grub update command not found; manual update-grub required"""
grub	5204	apply_grub_kernel_params_module	"add_safe ""2.4 GRUB_CMDLINE_LINUX_DEFAULT обновлён (требуется ручной update-grub)"""
chmod_chown	5212	apply_grub_kernel_params_module	"chmod 600 ""$grub_cfg"" && \"
chmod_chown	5213	apply_grub_kernel_params_module	"add_safe ""7.7 grub.cfg chmod 600: $grub_cfg"" || \"
chmod_chown	5214	apply_grub_kernel_params_module	"add_warning ""7.7 grub.cfg chmod 600 не удался: $grub_cfg"""
grub	5250	restore_grub_module	"if command -v update-grub >>""${DEBUG_LOG_FILE:-/dev/null}"" 2>&1; then"
grub	5251	restore_grub_module	"if update-grub >>""${DEBUG_LOG_FILE:-/dev/null}"" 2>&1; then"
grub	5252	restore_grub_module	"log ""[i]     restore 2.4 GRUB: update-grub выполнен"""
grub	5254	restore_grub_module	"log ""[WARN]  restore 2.4 GRUB: update-grub завершился с ошибкой"""
